연번,단어_용어,이표기_오표기,대안어(안)
558,스튜어드십 코드,,의결권 행사 지침
559,스트라이프 패턴,,줄무늬
560,스트레이트 뉴스,,"단신 기사, 발생 기사, 단신, 직접 뉴스"
561,스트리트 갤러리,스트릿 갤러리,"거리 전시장, 거리 화랑, 길가 화랑"
562,스트링,,"문자열, 끈"
563,스티밍,,열처리
564,스파우트,,"주둥이형 파우치, 주둥이형 음료 주머니"
565,스페셜 이펙트,,특수 효과
566,스페셜티 스토어,,전문점
567,스페이스 텔링,,이야기가 있는 공간
568,스폿 뉴스,스팟 뉴스,"초점 뉴스, 반짝 뉴스"
569,스폿 아이템,스팟 아이템,반짝 상품
570,스프린트 게임,,단거리 경기
571,스피너,,"팽이 회전, 회전, (회전식) 손 장난감"
572,스피드 팩토어,,잰맞춤 생산 (체계)
573,스피어 피싱,,표적 온라인 사기
574,스핀오프,,"회사 분할, 계열사, 파생작, 파급 효과"
575,슬래브,슬라브,"바닥판, 평판"
576,슬러거,,강타자
577,슬리브,슬립,소매
578,슬리포노믹스,,"숙면 산업, 숙면 경제"
579,슬립 다운,,미끄러져 넘어짐
580,슬립 테크,,숙면 기술
581,시네마 가든,,"영화 상영 정원, 영화 공원"
582,시네마 세러피,시네마 테라피,"영화 치유, 영화 치료(법)"
583,시드 뱅크,씨드 뱅크,종자 은행
584,시드 볼,씨드 볼,"씨앗 공, 구형 씨앗 흙"
585,시머트리,시메트리,"균형, 균제"
586,시스템 트레이딩,,"시스템 매매, 자동 매매"
587,시아르,"CR, 시알","대민 관계, 대외 협력"
588,시에스,CS,고객 만족
589,시티 룩,,"도시풍, 도시풍 옷차림"
590,시티 팜,,도시 농원
591,식스 맨,,"우수 후보 선수, 여섯 번째 선수"
592,신 파일러,씬 파일러,금융 이력 부족자
593,실러버스,실라버스,"강의 계획, 강의 계획서"
594,실버 서퍼,,디지털 친화 어르신
595,실버 시터,,"어르신 도우미, 경로 도우미"
596,실버 카,,노인 보행 보조 기구
597,심벌리즘,심볼리즘,상징주의
598,싱글 윈도 시스템,싱글 윈도우 시스템,통관 단일 창구제
599,싱잉 볼,,"명상 종, 명상 그릇"
600,싱크 탱크,,"두뇌 집단, 참모 집단"
601,싱킹 현상,,"꺼짐, 꺼짐 현상"
602,아르 누보,,신예술
603,아르피에이,"RPA, 알피에이",업무 처리 자동화
604,아베크,,"동반, 남녀 동반"
605,아웃 링크,,외부 연결 (방식)
606,아웃 사이즈,,특대형
607,아웃라이어,,독특한 사례
608,아웃리치,,"현장 봉사, 현장 지원 활동"
609,아웃바운드,,전화 방문 영업
610,아이스 겔,아이스 젤,"냉각 겔, 냉각 젤, 냉각제"
611,아이스 브레이킹,,"어색함 풀기, 서먹함 깨기, 서먹함 풀기"
612,아이시티,ICT,정보 통신 기술
613,아이에스에이,ISA,개인 종합 자산 관리 계좌
614,아이오티,IOT,사물 인터넷
615,아이피 포인트,IP 포인트,지식 재산 제공 점수
616,아카이브,,"자료 보관소, 자료 저장소, 기록 보관, 기록 보존, 자료 전산화"
617,아카이빙,,"자료 보관, 자료 저장, 기록 보관, 기록 보존, 자료 전산화"
618,아쿠아스케이프,,수생 조경
619,아쿠아포닉스,,물고기 농법
620,아키비스트,,"기록 보존 관리 전문가, 자료 보존 관리 전문가"
621,아키텍처,,"건축, 설계, 설계 구조, 시스템 구성, 업무 관리 구조화 체계, 조직화 체계"
622,아트 드로잉,,"그리기, 그림 그리기"
623,아트 마켓,,예술 시장
624,아트 뱅크,,미술(품) 은행
625,아트 시어터,아트 씨어터,예술 극장
626,아트 워크,,"미술 작품, 창조적 시각 예술"
627,아트 월,,(예술적) 꾸밈 벽
628,아트 위크,,예술 주간
629,아트 캠프,,"예술 캠프, 예술 야영"
630,아트 페어,,"미술 전람회, 미술 박람회"
631,아트 프린트,,"원화 인쇄, 원화 인쇄본, 원화 인쇄물"
632,아트버스터,,흥행 예술작
633,아트 셰이드,아트 쉐이드,디자인 그늘막
634,아틀리에,아뜰리에,"작업실, 제작실"
635,아티스틱 디렉터,,예술 감독
636,안심 스테이션,,"안전 구역, 안심 구역"
637,안테나 숍,안테나 샵,탐색 매장
638,암홀,,진동
639,애니멀 세러피,애니멀 테라피,"동물 매개 치유, 동물 매개 치료"
640,애니멀 호더,,동물 수집꾼
641,애슬레저,,일상 운동복
642,애시 그레이,애쉬 그레이,"잿빛, 회색"
643,애시 블루,애쉬 블루,회청색
644,애자일,,"탄력적인, 유연한"
645,애자일 조직,,탄력 조직
646,애프터 마켓,,후속 시장
647,액셀러레이터,엑셀러레이터,"(새싹 기업, 창업 초기 기업) 육성 기관, 창업 기획자, 육성, 창업 기획"
648,액션 그룹,,(지역) 활동가 모임
649,액션 미팅,,활성화 모임
650,액션 페인팅,,"행위 그림, 행위 예술"
651,액션 플랜,,"실행 계획, 세부 계획"
652,액티브 시니어,엑티브 시니어,활동적 장년
653,액티브 에이징,엑티브 에이징,활기찬 노년
654,앤솔러지,"앤솔로지, 엔솔러지, 엔솔로지","작품집, 문집, 명작 선집"
655,앤티시페이션,,"예측, 기대"
656,앰부시 마케팅,앰부쉬 마케팅,간접 판촉
657,앰비슈머,,가치 소비자
658,앱스트랙트,,"추상, 추상적"
659,앵커 공간,,"핵심 공간, 거점 공간"
660,앵커 기업,,"선도 기업, 중심 기업"
661,앵커 숍,앵커 샵,거점 매장
662,앵커 시설,,"종합 지원 시설, 주요 시설"
663,어닝 서프라이즈,,실적 급등
664,어닝 쇼크,,실적 충격
665,어메니티,어매니티,편의 물품
666,어번 라이프,어반 라이프,도시 생활
667,어뷰징,,"조회 수 조작, 부정행위 남용"
668,어젠다,아젠다,"의제, 가치관"
669,어태치트 칼라,어태치드 칼라,"붙임 칼라, 탈착 칼라"
670,어트랙션,어트렉션,"구경거리, 놀이기구, 명소"
671,어패럴,,"의복, 의류"
672,어패럴 메이커,,"의복 제조업, 의류업체"
673,어패럴 산업,,의류 산업
674,어퍼넌트,"오퍼넌트, 오포넌트","상대, 상대자"
675,언더도그,언더독,"약자, 약자 효과"
676,언더스터디,,"대기 배우, 대역 배우"
677,언더패스,,아래 차로
678,얼라이언스,,"동맹, 연합, 동맹 단체, 연합체 "
679,얼터너티브,"얼터니티브, 올터너티브",대안
680,엄파이어,,심판
681,업라이트,,"오른쪽 뒤, 무대 오른쪽 뒤, 수직형, 상향, 상향 불빛"
682,업스트림,,"위 흐름, 위 단계 흐름"
683,에너지 믹스,,"에너지 융합, 에너지원 다양화, 에너지 변환"
684,에듀 컬처 콘텐츠,"에듀 컬쳐 콘텐츠, 에듀 컬처 컨텐츠, 에듀 컬쳐 컨텐츠",교육 문화 콘텐츠
685,에듀 팜,,농촌 체험 농장
686,에듀테인먼트,,"놀이식 교육, 놀이 학습"
687,에듀테크,,교육 정보 기술
688,에디트,,편집
689,에뮬레이션,애뮬레이션,"대리 실행, 대행"
690,에뮬레이터,애뮬레이터,"대리 실행기, 대행기"
691,에뮬레이트,애뮬레이트,"대리 실행 하다, 대행하다"
692,에반젤리스트,,전도사
693,에비뉴,애비뉴,"거리, 큰 거리, 길, 방안"
694,에스닉,,"민속복, 민속풍"
695,에어 커튼,,"공기 조절 (장치), 공기 커튼"
696,에어 택시,,항공 택시
697,에어 간판,,"공기 간판, 풍선 간판"
698,에어 돔,,공기 지붕
699,에어리어,에리어,"지역, 구역"
700,에어 바운스,,"공기 놀이터, 공기 놀이기구"
701,에이지리스,,나이 무관
702,에이징 커브,,노화 곡선
703,에이징 테크,,고령 맞춤 기술
704,에지 컴퓨팅,엣지 컴퓨팅,분산 서버 실행
705,에코 드라이빙,,친환경 운전
706,에코 힐링,,자연 치유
707,에코엔티어링,,"자연 탐험 활동, 자연 모험 활동, 친환경 수행 활동"
708,에코티어링,,생태 탐험
709,에코하이킹,,"친환경 도보 여행, 친환경 걷기"
710,에피데믹,,"(감염병) 유행, (감염병) 국가적 유행, (감염병) 다국가 유행, (감염병) 예상 밖 유행"
711,엑소더스,,"탈출, 대이동"
712,엔데믹 블루,,"일상 회복 불안, 일상 회복 우울"
713,엔에프티,NFT,대체 불가 토큰
714,엘리베이터 피치,,"요점 전달, 짧은 홍보"
715,엠바고,,보도 유예
716,영 케어러,,가족 돌봄 청년
717,옐로 카펫,"옐로우 카펫, 옐로 카페트, 옐로우 카페트",건널목 안전 구역
718,오가노이드,오거노이드,"유사 장기, 인공 장기"
719,오너 코드,,명예 규율
720,오디언스,,"시청자, 청취자, 청중, 관객"
721,오버 페인팅,,덧칠
722,오버도그,오버독,강자
723,오버래핑,오버랩핑,겹치기
724,오버로드,,과부하
725,오버부킹,,초과 예약
726,오버슈즈,,덧신발
727,오버웨이트,,"과다 보유, 중량 초과"
728,오버코트,,외투
729,오버행,,"물량 부담, 돌출 암벽"
730,오버홀,,"재생 수리, 완전 분해 수리"
731,오서독스,"오소독스, 오소덕스","전통적, 정통적"
732,오일 허브,,석유 집산지
733,오일볼,,기름 뭉치
734,오일펜스,,"기름 막이, 기름 차단막"
735,오토 레이스,,자동차 경주
736,오토메이션,,"자동, 자동화"
737,오트 쿠튀르,오뜨 꾸뛰르,고급 의상점
738,오티시 시장,"OTC 시장, 오티씨 시장",장외 시장
739,오퍼상,,"판매 알선업자, 판매 확약업자"
740,오픈 랩,,"개방형 연구실, 열린 실험실"
741,오픈 베타,,공개 시범
742,오픈 스카이,,항공 자유화
743,오픈 스탠스,,"열린 자세, 열린 태도"
744,오픈 스파이크,,고공 공격
745,오픈 스페이스,,열린 쉼터
746,오픈 액세스,오픈 엑세스,개방형 정보 열람 (서비스)
747,오픈 이노베이션,,"개방형 혁신, 개방형 혁신 전략"
748,오픈 캠퍼스,,"기관-대학 협력 교육, 공개 교실"
749,오픈 코스,,"자유 주로, 열린 주로"
750,오픈 프라이머리,,"국민 경선, 국민 경선제"
751,오피니언 리더,,"여론 주도자, 여론 주도층"
752,온 디맨드,,주문형
753,온보딩,,"적응 지원, 조직 적응"
754,온사이드,,"공격 지역, 공격 가능 지역"
755,온택트,,"영상 대면, 화상 대면"
756,옴니채널,,통합 유통망
757,옴부즈맨,옴부즈만,민원 도우미
758,옴부즈퍼슨,,민원 도우미
759,옵서버,옵저버,참관인
760,옵아트,,광학 미술
761,옵티컬 일루전,,착시
762,와레즈 사이트,,불법 소프트웨어 사이트
763,와이너리,,"와인 제조장, 와인 양조장"
764,왜건,웨건,유아 수레
765,왜그 더 도그,"왜그 더 독, 왝 더 독",본말 전도
766,외교파우치,,외교 행낭
767,우드 버닝,,나무 태우기 (기법)
768,울트라미니,,초미니
769,워 게임,,"전쟁 놀이, 군사 연습, 모의 전쟁"
770,워닝,,경고
771,워드 마크,,글자 상징
772,워셔블,,물세탁 가능
773,워셔블 슈트,워셔블 수트,"물빨래 옷, 물빨래 양복"
774,워커밸,,주객 평등
775,워케이션,,휴가지 원격 근무
776,워크 스루,워킹 스루,"도보 이동형, 도보형"
777,워크 오버,,부전승
778,워크 체인,,"체험형 진로 탐색, 현장 기반 직업 이해 프로그램"
779,워크셰어링,워크쉐어링,일자리 나누기
780,워킹 그룹,,실무단
781,워킹 드로잉,,작업도
782,워킹 슈트,워킹 수트,산책복
783,워킹 푸어,,근로 빈곤층
784,워터 스크린,,수막 영상
785,워터 터널,,"물놀이 터널, 물 터널"
786,워터 프런트,워터 프론트,"물가, 수변"
787,워터 해저드,,"웅덩이, 물 웅덩이"
788,원 루프 서비스,,한 지붕 서비스
789,원 테이크,,"일회 완성 촬영, 단번 촬영"
790,원샷 플레이,,마지막 공격
791,월 패드,,통합 주택 제어판
792,웜업,,"예열, 예열하다"
793,웨비나,,"화상 토론회, 화상 회의"
794,웨어러블 스마트 디바이스,,"지능형 착용 기기, 착용형 휴대 기기"
795,웨어러블 캠,,착용형 촬영 기기
796,웨이스트,,허리
797,웨이퍼,,회로판
798,웨트 에이징,웻 에이징,습식 숙성
799,웰니스,,건강 관리
800,웰다잉,,"편한 죽음, 존엄사, 잘 죽기"
801,웰리빙,,"잘 살기, 건강 생활, 건강한 삶"
802,웰에이징,,건강 노년맞이
803,웰컴 스테이션,,맞이방
804,웰컴 키트,,환영 꾸러미
805,웹진,,"누리 잡지, 온라인 잡지, 온라인 소식지"
806,위그선,WIG선,수면 비행 선박
807,윈도 스루 검진,윈도우 스루 검진,투명창 검진
808,윈드 브레이크,,바람막이 옷
809,윈드 시어,,"급변풍, 돌풍"
810,윈드 재킷,윈드 자켓,"방풍 재킷, 바람막이 옷, 바람막이 재킷"
811,윈드 크러스트,,강풍 빙판
812,유니버설 디자인,유니버셜 디자인,범용 디자인
813,유니콘 기업,,거대 신생 기업
814,유니크 베뉴,,이색 지역 명소
815,유니티,,통일
816,유닛 세팅,유닛 셋팅,다용도 장치
817,유저 인터페이스,,사용자 환경
818,유커,요우커,중국(인) 관광객
819,유턴 기업,,선회 기업
820,유통 콤플렉스,유통 컴플렉스,유통 단지
821,유틸리티 폴,,"전신주, 전봇대"
822,유피에스,UPS,무정전 전원 장치
823,의료 텔레메트리,,"화상 처치 체제, 원격 화상 처치 체제"
824,이 커머스,,전자 상거래
825,이그조틱,,이국풍
826,이너 서클,,"내부 핵심 집단, 패거리, 핵심층"
827,이노베이션 랩,,(기술) 혁신 연구소
828,이노베이터,,혁신자
829,이노비즈,,혁신형 중소기업
830,이니셔티브,,"주도권, 선제권, 구상, 발의, 발의권, 추진 계획"
831,이머징 마켓,,신흥 시장
832,이모션 메모리,,정서 기억
833,이미테이션 레더,,인조 가죽
834,이스케이프 루트,,"안전로, 탈출로"
835,이스터 에그,,"숨은 메시지, 숨은 기능, 숨은 재미"
836,이에스지 경영,ESG 경영,환경‧사회‧투명 경영
837,익스프레셔니즘,,표현주의
838,인덱스 펀드,,지수 연동형 기금
839,인도어 링크,,실내 스케이트장
840,인도어 테니스,,실내 테니스
841,인디케이터,,"지시기, 지시계"
842,인디펜던트 시어터,,독립 극장
843,인링크,,내부 연결 (방식)
844,인벤토리,,목록
845,인보이스,,"송장, 보냄표"
846,인서트,인설트,"끼움, 끼우기"
847,인슈어테크,,보험 정보 기술
848,인스톨,,"설치, 설치하다"
849,인스트럭터,,"지도사, 강사, 강습자"
850,인스피레이션,인스퍼레이션,영감
851,인저리,,부상
852,인저리 타임,,추가 시간
853,인큐베이팅,,"육성, 보육"
854,인큐베이팅 펀드,,창업 보육 자금
855,인터랙션,인터렉션,상호작용
856,인터랙티브,인터렉티브,"쌍방향, 양방향, 대화형"
857,인포 이미징,,영상 정보
858,인포그래픽,인포그래픽스,정보 그림
859,인포그래픽 월,,정보 그림 벽
860,인포데믹스,인포데믹,악성 정보 확산
861,인포테인먼트,,정보 오락 프로그램
862,인프라 펀드,,기반 시설 기금
863,인프라스트럭처,인프라스트럭쳐,"기반, 기반 시설"
864,인하우스,,"계열사, 조직 내부의"
865,일렉트로닉 뱅킹,,"전자 금융, 전자 금융 거래"
866,임베디드,,"붙박이, 내장형"
867,임팩트 비즈니스,,사회 가치 병행 사업
868,임팩트 투자,,사회 가치 투자
869,자이언트 스텝,,광폭 조정
870,잡 네트워킹,,"일 연계망, 일 연계망 형성, 일자리 연계망, 일자리 연계망 형성"
871,잡 매칭,,일자리 연결
872,잡 카페,,"취업 카페, 취업 상담소"
873,잡 크래프팅,,자발적 직무 설계
874,잡 페어,,"채용 박람회, 취업 박람회, 직업 박람회"
875,전망 덱,전망 데크,"나무 전망대, 전망대"
876,점프 업,,도약
877,정크 아트,,"폐물 예술, 폐품 (활용) 미술, 폐품 예술, 쓰레기 미술"
878,제너레이터,제네레이터,발전기
879,제네릭,제너릭,복제약
880,제로 데이,,"취약점 발견일, 취약점 발표일"
881,제로 레이팅,,사용료 우대 정책
882,제로 웨이스트,,쓰레기 없애기
883,제로 이코노미,,성장 멈춤 경제
884,젠더 프리 캐스팅,,"탈성별 배역, 탈성별 배역 선정"
885,젠트리피케이션,,둥지 내몰림
886,조인트 벤처,,합작 투자
887,주니어 보드,,"청년 중역 회의, 청년 자문회, 청년 자문 회의"
888,지소미아,GSOMIA,한일 군사 정보 보호 협정
889,지아이에스,GIS,"지리 정보 시스템, 지리 정보 체계"
890,지투지,G2G,정부 간 거래
891,찬스 메이킹,,기회 만들기
892,체인 스토어,,연쇄점
893,체인지 메이커,,혁신가
894,체크슈머,,꼼꼼 소비자
895,카고,,화물
896,카고 십,카고 쉽,"짐배, 화물선"
897,카디즈,,한국 방공 식별 구역
898,카본 블루,,"암청색, 어두운 파란색"
899,카본 프리,,무탄소
900,카운터블로,카운터블로우,받아치기
901,카운터파트,,상대방
902,카 페리,,여객선
903,캄 테크,,자동 편의 기술
904,캐비지,,양배추
905,캐비테이션,케비테이션,공동 현상(空洞現象)
906,캐시 카우,캐쉬 카우,① 돈줄 ② 금고
907,캐시 플로,"캐쉬 플로우, 캐시 플로우, 캐쉬 플로",현금 흐름
908,캐치 업,,따라잡기
909,캐포츠,,"활동복, 활동 기능복"
910,캠퍼스 리크루팅,,교내 채용 설명회
911,캡션,,"짧은 설명문, 설명"
912,캡스톤 디자인,캡스턴 디자인,창의적 종합 설계
913,커넥티드 시티,,통신 연결 도시
914,커넥티드 카,,통신 연결 차량
915,커넥티비티,,통신 연결성
916,커넥팅 패널,커넥팅 판넬,연결판
917,커리어 웨어,,"전문직 여성복, 출근복, 업무복"
918,커리어 하이,,최고 기록
919,커뮤니티 매핑,커뮤니티 맵핑,참여형 지도 제작
920,커뮤니티 시어터,,지역 연극
921,커뮤니티 케어,,"지역 사회 (통합) 돌봄, 더불어 돌봄, 공동체 돌봄"
922,커버리지,,"(맡은) 범위, 대역, 수신 가능 지역"
923,커버스토리,,표지 기사
924,커스터마이즈,,맞춤
925,커트오프,컷오프,"공천 배제, 예비 경선, 탈락"
926,커플러,,연결기
927,커피 클레이,,"커피 찌꺼기 점토, 커피 찰흙"
928,컨버전,,변환
929,컨버전스,,"융합, 융복합, 통합, 결합"
930,컨버터,,"패션 소재업(자), 방송 신호 변환기, 변환기"
931,컨버팅,,변환
932,컨베이어,콘베이어,"운반, 운반기"
933,컨벤션 뷰로,,"회의 사무국, 국제 회의 사무국, 회의 지원 조직, 국제 회의 지원 조직, 국제 회의 전담 조직, 홍보 전담 기구, 지역 사회 홍보 기구"
934,컨벤션 효과,,행사 효과
935,컨트롤 보드,,조정판
936,컨트롤 포스트,,통제 관문
937,컨트리 리스크,,국가별 위험도
938,컨트리풍,,"시골풍, 전원풍"
939,컨틴전시 플랜,,비상 계획
940,컨펙셔너리,,"과자류, 제과점"
941,컨플릭트,,갈등
942,컬덕트,,문화 융합 상품
943,컬러 마케팅,,색채 마케팅
944,컬러 필터,,"착색 필터, 색 필터"
945,컬러리스트,,색채 전문가
946,컬처 핏,컬쳐 핏,"조직 문화 적합성, 조직 (문화) 적합성"
947,컬트,,소수 취향
948,컴플라이언스,,"법규 준수, 준법 감시, 유연성"
949,컴플리케이션,,"꼬임, 복잡화, 다기능"
950,컴필레이션,,"선집, 모음집"
951,케어 콜,,돌봄 전화
952,케어 팜,,치유 농장
953,케어 푸드,,"돌봄식, 돌봄 음식"
954,케어 플랜,,"간호 복지 계획, 복지 계획, 돌봄 계획"
955,케이스 스터디,,사례 연구
956,케이터링,,"출장 밥상, 출장 음식"
957,코덱스,,국제 식품 규격
958,코드 셰어,코드 쉐어,공동 운항
959,코드 인사,,"편향 인사, 성향 인사"
960,코드 커팅,,유선 해지
961,코로나 레드,,코로나 분노
962,코로나 블랙,,코로나 절망
963,코리빙,,"공간 나눔, 공간 공유"
964,코리빙 하우스,,공간 나눔 주택
965,코멘테이터,,해설자
966,코믹 터치,,"익살풍, 희극적 기법"
967,코워크,,"협업, 공동 작업"
968,코워킹 스페이스,,"공유 업무 공간, 협업 공간"
969,코즈메틱,코스메틱,화장품
970,코즈모폴리턴,"코스모폴리탄, 코스모폴리턴",세계주의자
971,코호트 격리,,동일 집단 격리
972,콘덴서,,"축전기, 축전지"
973,콘시어지,컨시어지,"총괄 안내, 총괄 안내인"
974,콘택트 포인트,컨택트 포인트,"연락처, 연락 창구"
975,콘텍스트,컨텍스트,"문맥, 맥락"
976,콘트라스트,,대비
977,콘퍼런스 콜,컨퍼런스 콜,"전화 회의, 화상 회의, 통신 회의"
978,콜드 체인,,"저온 유통, 냉장 운반 보관"
979,콜렉티브 임팩트,,공동 의제 해결
980,콜키지,,주류 반입비
981,콤팩트 시티,컴팩트 시티,기능 집약 도시
982,콤플리케이션,컴플리케이션,"① 꼬임 ② 복잡화, 다기능"
983,쿨 루프,,"시원 지붕, 방열 지붕"
984,쿨 키트,,"냉방 용품 (모음), 피서 용품 (모음)"
985,쿨 타월,쿨 타올,"냉각 수건, 시원한 수건"
986,쿨다운,,"① 냉각 ② 정리 운동, 마무리 운동"
987,쿨링 포그,,"안개형 냉각, 안개형 냉각수, 안개 분사기"
988,쿨링오프,,계약 철회 보증 (제도)
989,쿼터 파이널,,준준결승
990,큐레이션 커머스,,소비자 맞춤 상거래
991,큐비즘,,"입체파, 입체주의"
992,크라우드 워커,,대규모 참여형 노동자
993,크라우드소싱,,"대중 참여 제작, 대중 참여 생산"
994,크라이시스,,위기
995,크래프트 맥주,,수제 맥주
996,크랭크 인,,"촬영 시작, 촬영 개시"
997,크레디트 라인,크레딧 라인,신용 한도
998,크레디트 타이틀,크레딧 타이틀,"소개 자막, 영화 소개 자막, 제작 참여자 소개 자막"
999,크레바스,,"빙하 균열, 빙하 틈"
1000,크로스 라이선스,크로스 라이센스,"특허 교환, 특허 교환권"
1001,크로스 미디어,,매체 다양화 (기법)
1002,크로스 컨트리,,"지구력 경기, 산야 경기"
1003,클래시시즘,,고전주의
1004,클러스터,,"산학 협력 지구, 연합 지구, 협력 지구, 협력 단지"
1005,클러스트,,"무리, 집단, 단지"
1006,클레이,,"점토, 진흙"
1007,클레이 슈팅,,접시 표적 사격
1008,클리어런스 세일,,"재고 할인, 재고 할인 판매, 떨이 판매"
1009,클리어링,,걷어 내기
1010,클리핑,클립핑,"오려 두기, 추림, 뽑아 냄"
1011,클린 데이,,"청소하는 날, 환경 정비의 날, 청결의 날, 청정의 날"
1012,클린 디젤,,저공해 디젤
1013,클린 로드,,도로 살수 장치
1014,클린 뷰티,,친환경 화장품
1015,클린 이팅,,자연식
1016,클린도,,청정도(淸淨度)
1017,키 비주얼,,"핵심 그림, 핵심 장면"
1018,키네틱 아트,,"동작 예술, 동적 예술"
1019,킥오프 회의,,"첫 회의, 첫 기획 회의"
1020,킬러 콘텐츠,킬러 컨텐츠,"돌풍 콘텐츠, 핵심 콘텐츠"
1021,타깃 하드닝,타겟 하드닝,방범 시설 강화
1022,타운 미팅,,"주민 회의, 주민 총회"
1023,타운 웨어,,"외출복, 나들이옷"
1024,타운 홀 미팅,,주민 참여 공개 회의
1025,타이 브레이크,,동점 끝내기
1026,타이머 콕,,"가스 안전 장치, 가스 안전 기기"
1027,타이포,,"활자체, 자형"
1028,타임 레이스,,기록 경기
1029,타임래그,,시차
1030,태그리스,,"비접촉식, 비접촉"
1031,태스크 포스,,"전담반, 전담 조직"
1032,택소노미,,"녹색 분류 체계, 분류 체계, 분류, 경제 활동 분류 체계"
1033,탱크 로리,,"용기 적재차, 용액 운반차, 용기 운반차"
1034,터미널 본드,,레일 연결선(rail 連結線)
1035,턴키,,일괄 발주
1036,테넌트,,"세입자, 임차인, 소작인"
1037,테라리엄,테라리움,"유리병 재배, 유리병 정원"
1038,테마 브리핑,,주제 보고
1039,테스트 마켓,,시험 시장
1040,테스트 베드,,"가늠터, 시험장, 시험대, 시험 무대, 성능 시험장"
1041,테스트 스크리닝,,미리 보기
1042,테이크 어웨이,,뒤로 빼기
1043,테이크 오프,,"이륙, 도약"
1044,테이퍼링,,양적 완화 축소
1045,테크노폴리스,,첨단 산업 연구 도시
1046,테크니션,,"기교파, 기술자"
1047,테크니컬 센터,,"(공학) 기술 센터, 해결책 제공 창구"
1048,테크핀,,기술 기반 금융
1049,테트라포드,,"네 발 방파석, (네 발) 방파석, 파도막이 돌"
1050,텍스타일,,"직물, 섬유, 실"
1051,텔레 케어,,원격 돌봄
1052,텔레매틱스,,원격 서비스
1053,토피어리,,식물 예술 작품
1054,톱 티어,탑 티어,"일류, 최상"
1055,톱다운,탑다운,하향식
1056,투 트랙,,"두 갈래, 이원화"
1057,투어리즘,,"여행, 관광, 탐방"
1058,투어링,,순회
1059,투어링 컴퍼니,,순회 극단
1060,투웨이,,이원적
1061,툴 키트,,도구 모음 프로그램
1062,튜터,,"강사, 지도사, 개인 교사"
1063,튜터리얼,,"지침서, 지침 프로그램, 학습서, 학습 프로그램, 지침"
1064,튜터링,,"강의, 지도, 개인 교습"
1065,튜토리얼 세션,,"특강 시간, 분야별 발표, 분야별 발표 시간"
1066,트라이아웃,,① 실력 점검 ② 공개 선발 시험 
1067,트래블 룰,,"송금 정보 기록제, 자금 이동 규칙"
1068,트래블 버블,,"비격리 여행 권역, 여행 안전 권역"
1069,트래직 넘버,,패배 수
1070,트랙 레코드,,"실적, 경력, 기록"
1071,트랙 백,,"뒤로 이동, 엮인 글, 역방향 연결 고리(링크) 생성, 물러가기 촬영 기법"
1072,트랙 업,,"앞으로 이동, 다가가기 촬영 기법"
1073,트랜스미디어,,매체 융합
1074,트랜스미션,,전송
1075,트랜스포메이션,,"변신, 변화"
1076,트랜스플럭서,,전자파 교란 장치
1077,트램,,"전차, 노면 전차"
1078,트럼페터,,트럼펫 연주자
1079,트레이드 머니,,이적료
1080,트레이딩 플로어,,"거래장, 매매장"
1081,트레일,,탐방로
1082,트레일러닝,,"산악 달리기, 산길 달리기"
1083,트레킹 붐,트래킹 붐,도보 여행 대유행
1084,트렌드세터,,유행 선도자
1085,트렌치,,도랑형 바닥 구조물
1086,트로피컬 룩,,열대풍
1087,트루 리얼리즘,,참 사실주의
1088,트리 포트,,화분
1089,트리 하우스,,"나무 위 집, 나무 위 주택"
1090,트리거,,방아쇠
1091,트리거 광고,,유인 광고
1092,트리밍,,장식
1093,트릭 아트,,"착시 예술, 착시 그림, 눈속임 예술, 눈속임 그림"
1094,트윈데믹,,감염병 동시 유행
1095,티 포트,,찻주전자
1096,티저 포스터,,예고 포스터
1097,티처 보이,,교사 의존 학생
1098,티핑 포인트,,급변점
1099,틸팅 열차,,준고속 열차
1100,팀 빌딩,,조직 강화
1101,파노라마 선루프,,전면 지붕창
1102,파라미터,,매개 변수
1103,파머스,,"농부(의), 농민(의)"
1104,파밍,,"사이트 금융 사기, 인터넷 금융 사기"
1105,파빌리온,,"전시관, 가설 건물"
1106,파운드리,,"조립, 조립 생산, 위탁 생산"
1107,파이낸싱,,"자금 조달, 자본 조달, 자금 지원"
1108,파이어니어,,① 개척자 ② 선구자
1109,파이프라인,,"촉매제, 연결관"
1110,파이핑,,누수
1111,파인 플레이,,"멋진 경기, 깨끗한 경기"
1112,파일네임,,"철, 기록철, 파일 이름"
1113,파트너십 이니셔티브,파트너쉽 이니셔티브,친선 발의권
1114,파티 웨어,,"연회복, 파티복"
1115,팜 스쿨,,농어촌 체험 학교
1116,팜 파티,,"농장 잔치, 농촌 잔치, 농산물 체험 잔치"
1117,팜투어,,"농장 체험, 농장 여행, 농장 관광"
1118,팝업 가든,,반짝 정원
1119,팝업 놀이터,,"반짝 놀이터, 임시 놀이터"
1120,패닉 룸,,피신처
1121,패닉 바잉,,공황 구매
1122,패닉 셀링,,공황 매도
1123,패들링,,"노질, 노젓기"
1124,패러독스,,역설
1125,패러슈트,,낙하산
1126,패럴렐,,"평행 활주, 병행"
1127,패브릭 물감,,"헝겊용 물감, 직물용 물감, 천 물감, 천 염료"
1128,패브릭아트,,"천 예술, 천 그림"
1129,패스트 힐링,,자투리 휴식
1130,패시브 하우스,,"초단열 주택, 에너지 절감 주택"
